record_type,stage,dofile,step,description,rows_in,rows_dropped,rows_out,cases_in,cases_dropped,cases_out,case_grain,province,municipality,item,harmonized_nsu_unit,corrected_unit,reason,notes
stage_summary,3,dofiles/nsu_reference_set.do,3b,"Drop unique_mun_price weighings (Outcome 1 only -- not a size, see docs/data_oddities.md and the do-file header)",11377,33,11344,2015,11,2004,province x municipality x item x harmonized_nsu_unit x corrected_unit,,,,,,,All 11 cases lost here are price-quantity cases whose only surviving rows were unique_mun_price; see case_detail rows below
stage_summary,3,dofiles/nsu_reference_set.do,3c,"Drop the carrot's price-quantity rows (ILOILO/TIGBAUAN/carrot/pieces or units/g -- the one cell whose harmonized unit spans both weighing approaches; Outcome 1 keeps only the 9 size-based rows, Outcome 2 will keep only the 7 price-quantity rows)",11344,7,11337,2004,0,2004,province x municipality x item x harmonized_nsu_unit x corrected_unit,,,,,,,0 ALL-BRANCH cases lost (the case survives via its 9 size-based rows) but 1 PRICE-QUANTITY-BRANCH case is removed from the price-quantity population -- see case_detail row below. docs/data_oddities.md section 1.
stage_summary,3,dofiles/nsu_reference_set.do,"3d - AGGREGATION, NOT ATTRITION",Collapse to the reference set: median(w_ref) within case x size_ord,11337,,3321,2004,0,2004,,,,,,,,"3,321 output rows = 123 conventional (1 row/case) + 355 price-quantity-derived rows (310 cases) + 2,843 size-based rows (1,571 cases). This step aggregates weighings into reference-set rows; it does not remove any case."
stage_summary,3,dofiles/nsu_reference_set.do,TOTAL,Stage 3 output = outputs/master_rename_build/temp/nsu_reference_set.dta (OUTCOME 1),11384,47,11337,2019,15,2004,,,,,,,,"rows_out is rows entering the collapse (11,337); the published file has 3,321 rows after aggregation (see step 3d)"
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,ANTIQUE,LIBERTAD,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,VALLADOLID,chicken,bilog,g,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,PULUPANDAN,"liquor (e.g, whisky, coconut wine)",long-neck,mL,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,SALVADOR BENEDICTO,"liquor (e.g, whisky, coconut wine)",long-neck,mL,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),chicken,whole (chicken),g,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,TOBOSO,chicken,whole (chicken),g,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,VALLADOLID,chicken,whole (chicken),g,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,CAUAYAN,fresh fish,pieces or units,g,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,HINIGARAN,"liquor (e.g, whisky, coconut wine)",long-neck,mL,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Price-quantity case whose only surviving rows were unique_mun_price,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,MURCIA,"prawns, lobster, shrimp",tumpok,g,unique_mun_price only (Outcome 1 deliberate exclusion),"This case's price-quantity rows carried item_nsu_hetero_type in {unique_mun_price6, unique_mun_price7} only; unique_mun_price is a raw observed price with no position on a size ladder, so Outcome 1 excludes it and the case has nothing left to size."
case_detail,3,dofiles/nsu_reference_set.do,,Carrot case: price-quantity branch removed (kept as a size-based case only),,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,ILOILO,TIGBAUAN,carrot,pieces or units,g,carrot rule (mixed-branch cell),"The only cell in 1,952 whose harmonized unit spans both weighing approaches (7 price-quantity 'pieces or units' rows fold together with 9 size-based 'bilog' rows). Outcome 1 keeps only the 9 size-based rows; Outcome 2 will keep only the 7 price-quantity rows. See docs/data_oddities.md section 1."
case_detail,3 (upstream),dofiles/nsu_reference_set.do sec.1 / underlying cause in cleaning,,Price-quantity case with no usable w_ref,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,CAPIZ,TAPAZ,chicken,whole (chicken),(none -- corrected_unit missing),no usable w_ref,"4 of this case's 9 price-quantity rows have blank field 'weight' in the raw launch data (visible in outputs/master_rename_build/temp/prelim_nsu_data.dta); with no weight, corrected_weight/corrected_unit/w_ref are all missing for those 4 rows. Because corrected_unit is missing for all 4, they form their own (case x corrected_unit=missing) group distinct from the case's other 5 rows (which have corrected_unit='g' and DO survive to the output, at CAPIZ/TAPAZ/chicken/whole (chicken)/g). This is why the case looks intact at the coarse province x municipality x item x harmonized_nsu_unit grain (its g-split is fine) but loses a case at the fine, corrected_unit-inclusive grain."
stage_summary,RECONCILIATION,--,--,"Coarse-grain (WITHOUT corrected_unit) price-quantity-touching case count, at input to nsu_reference_set.do (measured on nsu_weights_restated.dta)",,,,,,315,province x municipality x item x harmonized_nsu_unit (no corrected_unit),,,,,,,"= 314 modal price-quantity cases (docs/conversion_factor_methodology.md 'Branch shares' table) + 1 (the carrot cell, which is modally size-based but also contains price-quantity rows, so it counts as 'PQ-touching' under an any-row test). Identical on nsu_data_master.dta and nsu_weights_restated.dta -- the ice-cream mL loss in Stage 2 does not show up here because its g-side sibling survives."
stage_summary,RECONCILIATION,--,--,"Coarse-grain (WITHOUT corrected_unit) price-quantity-touching case count, in the Outcome 1 output",,,,,,303,province x municipality x item x harmonized_nsu_unit (no corrected_unit),,,,,,,"315 - 303 = 12 lost = 11 unique_mun_price-only cases + 1 carrot. This matches the ~11-12 originally expected EXACTLY, when both sides are measured at the same (coarse) grain."
stage_summary,RECONCILIATION,--,--,"Fine-grain (WITH corrected_unit -- the grain nsu_reference_set.do actually pools on) price-quantity case count, at input to nsu_reference_set.do",,,,,,323,province x municipality x item x harmonized_nsu_unit x corrected_unit,,,,,,,"Measured on nsu_weights_restated.dta. (324 on nsu_data_master.dta, before the Stage-2 ice-cream-mL loss.)"
stage_summary,RECONCILIATION,--,--,Fine-grain price-quantity case count in the Outcome 1 output,,,,,,310,province x municipality x item x harmonized_nsu_unit x corrected_unit,,,,,,,Verified byte-for-byte against outputs/master_rename_build/temp/nsu_reference_set.dta: the 310-case set computed by replicating nsu_reference_set.do's section 1 in Python is IDENTICAL (set equality) to the actual published output's price-quantity case set.
stage_summary,RECONCILIATION,--,--,"THE ANSWER: why '315 -> 310, five unaccounted' is not a real gap",,,,,,,,,,,,,,"315 is a COARSE-grain input count (no corrected_unit; includes the carrot cell). 310 is the FINE-grain output count (with corrected_unit; the grain the pipeline actually uses, and the one this brief specifies). Differencing them subtracts two counts of two different case populations. Measured consistently: coarse loses 12 (315->303), fine loses 14 (324->310 / 323->310 after the Stage-2 loss). The 14 fine-grain losses are ALL individually named above: 11 unique_mun_price-only + 1 carrot + 1 restate-stage grain-mismatch casualty (ice cream mL) + 1 no-usable-w_ref casualty (CAPIZ/TAPAZ chicken). The apparent 'five missing' is an artifact of comparing across grains, not five additional unexplained cases."
stage_summary,PRICE FILE,dofiles/cleaning_Aug11.do sec 'use as crosswalk' / outputs/tables/master_nsu_rename.csv,--,"Price-file cases (province x municipality x item x RAW pull_nsu_unit grain -- the grain master_nsu_rename.csv itself is keyed on, before NSU-name harmonization)",,,,,,2950,"province x municipality x item x pull_nsu_unit (raw NSU label, price-file side)",,,,,,,"2,001 'MS & Price' (this raw price-file case also appears among the MS weighings) + 949 'Price Only' (no MS weighing at all -- e.g. an item-NSU combination PSPS households reported that the market survey never fielded). Source: outputs/tables/master_nsu_rename.csv, column 'source'."
stage_summary,OUTCOME 2,dofiles/[not yet written],--,PSPS conversion factors -- NOT YET BUILT,,,,,,,,,,,,,,"No do-file implements Outcome 2 as of this ledger. docs/conversion_factor_methodology.md's 'Which files are live' table lists it as not yet written; nsu_step_a_rungs.do is an explicitly superseded, do-not-run earlier attempt. This ledger therefore covers Outcome 1 (the reference set) only; a matching ledger for Outcome 2 should be produced once that pipeline exists."
