id,stratum,rawtick,raw_weight,corrected_weight,image_code,h_display_raw,reading_source,h_glare_flag,h_notes,m_haiku,m_sonnet,m_hires,human_g,haiku_g,sonnet_g,hires_g,typed_g,scale_row,ok_haiku,ok_sonnet,ok_hires,typed_ok,typed_ratio,typed_decade
5375,C1 dual-ticked,Litres (L),.80000001,800,1774576272386,800 mL,package,0,"scale present, but volume marked on pacakge (800 mL); prioritize the volume label",,,,800,,,,800.00001,0,,,,,,
5443,C1 solid as Litres,Litres (L),.001175,1175,1774578054508,1.175,scale,0,,.115,1.175,1.175,1175,115,1175,1175,1.175,1,0,1,1,1,1,0
10269,C2 review queue,grams (g),.045000002,45,1774669586277,0.045,scale,0,,.045,.045,.045,45,45,45,45,45.00000199999999,1,1,1,1,1,1,0
9045,C2 magnitude,grams (g),.14,140,1775521072842,0.14,scale,0,scale turned sideways,.135,,,140,135,,,140,1,0,,,1,1,0
9068,C1 liquid as mass,grams (g),.405,405,1775610644371,0.405,scale,1,,,,,405,,,,405,1,,,,1,1,0
8435,C2 block governs,grams (g),.51999998,520,1775696058786,0.52,scale,0,,.52,.52,.52,520,520,520,520,519.9999800000001,1,1,1,1,1,1,0
4996,C2 magnitude,grams (g),.13,130,1775703652194,0.13,scale,1,,.13,.13,.13,130,130,130,130,130,1,1,1,1,1,1,0
3887,C2 block governs,grams (g),.44999999,450,1775787569138,0.045,scale,1,,,.045,,45,,45,,449.99999,1,,1,,0,10,1
5184,C2 review queue,grams (g),.079999998,80,1775866549083,0.08,scale,0,,.05,.08,.08,80,50,80,80,79.99999800000001,1,0,1,1,1,1,0
4196,C2 block governs,grams (g),.5600000000000001,560,1775875357769,0.56,scale,1,Not sure if tared (taring required weighing the empty container first I think),.5600000000000001,.5600000000000001,.5600000000000001,560,560,560,560,560,1,1,1,1,1,1,0
4312,C1 liquid as mass,grams (g),440,440,1776219074931,0.44,scale,0,,.14,.44,.44,440,140,440,440,440,1,0,1,1,1,1,0
2535,C2 block governs,grams (g),.27000001,270,1776665292134,0.27,scale,1,,.08,,,270,80,,,270.00001,1,0,,,1,1,0
2548,C2 magnitude,grams (g),.059999999,60,1776735202324,0.06,scale,1,,,.06,,60,,60,,59.999999,1,,1,,1,1,0
2460,C2 magnitude,grams (g),.215,215,1777082700414,0.215,scale,0,,215,.215,.215,215,215,215,215,215,1,1,1,1,1,1,0
924,C2 magnitude,grams (g),.064999998,65,1777427847332,0.065,scale,0,,,.065,,65,,65,,64.99999800000001,1,,1,,1,1,0
110,C2 magnitude,grams (g),.205,205,1778117239723,0.205,scale,0,,.205,.205,.205,205,205,205,205,205,1,1,1,1,1,1,0
71,C2 magnitude,grams (g),.5,500,1778207894293,0.5,scale,1,,,,,500,,,,500,1,,,,1,1,0
8882,C1 solid as Litres,Litres (L),.40000001,400,1778288077794,0.4,scale,1,,,.4,,400,,400,,400.00001,1,,1,,1,1,0
7226,C2 block governs,Kilograms (Kgs),2060,2060,1778722214887,2.095,scale,0,,2095,2.095,2.095,2095,2095,2095,2095,2060,1,1,1,1,1,.9832935560859188,0
7843,C1 liquid as mass,grams (g),.44,440,1778834502177,0.44,scale,0,,.44,.44,.44,440,440,440,440,440,1,1,1,1,1,1,0
