id,image_code,tier,provisional,verdict,photo_value,photo_unit,reading_source,photo_read_raw,corrected_weight,ratio,rawtick,raw_weight,stratum,pkg_seen,h_glare_flag,evidence,reviewer,rdate,reviewer_note
6476,1774051090174,B model,1,confirm,65,g,scale,0.065,65,1,grams (g),.064999998,C2 block governs,0,0,g 65 read from photograph; published 65,"photo review, human_v1 + calib_v1",2026-09-20,
4935,1775527493887,B model,1,confirm,155,g,scale,0.155,155,1,grams (g),.155,C2 block governs,0,0,g 155 read from photograph; published 155,"photo review, human_v1 + calib_v1",2026-09-20,
8474,1775701177913,B model,1,confirm,470,g,scale,0.470,470,1,grams (g),.47,C1 liquid as mass,0,0,g 470 read from photograph; published 470,"photo review, human_v1 + calib_v1",2026-09-20,
4976,1775703565165,B model,1,confirm,460,g,scale,0.460,460,1,grams (g),.46000001,C2 magnitude,0,0,g 460 read from photograph; published 460,"photo review, human_v1 + calib_v1",2026-09-20,
5181,1775866955885,B model,1,confirm,60,g,scale,0.060,60,1,grams (g),.059999999,C2 review queue,0,0,g 60 read from photograph; published 60,"photo review, human_v1 + calib_v1",2026-09-20,
4311,1776219058341,B model,1,confirm,375,g,scale,0.375,375,1,grams (g),375,C1 liquid as mass,0,0,g 375 read from photograph; published 375,"photo review, human_v1 + calib_v1",2026-09-20,
2532,1776737899434,B model,1,confirm,895,g,scale,0.895,895,1,grams (g),.89499998,C2 magnitude,0,0,g 895 read from photograph; published 895,"photo review, human_v1 + calib_v1",2026-09-20,
10964,1776828515542,B model,1,confirm,600,g,scale,0.600,600,1,grams (g),600,C1 liquid as mass,0,0,g 600 read from photograph; published 600,"photo review, human_v1 + calib_v1",2026-09-20,
2449,1776995378158,B model,1,confirm,210,g,scale,0.210,210,1,grams (g),.20999999,C2 magnitude,0,0,g 210 read from photograph; published 210,"photo review, human_v1 + calib_v1",2026-09-20,
10707,1777606851141,B model,1,confirm,750,g,scale,0.750,750,1,grams (g),750,C1 liquid as mass,0,0,g 750 read from photograph; published 750,"photo review, human_v1 + calib_v1",2026-09-20,
10706,1777607182345,B model,1,confirm,810,g,scale,0.810,810,1,grams (g),810,C1 liquid as mass,0,0,g 810 read from photograph; published 810,"photo review, human_v1 + calib_v1",2026-09-20,
10511,1777864638308,B model,1,confirm,455,g,scale,0.455,455,1,grams (g),455,C1 liquid as mass,0,0,g 455 read from photograph; published 455,"photo review, human_v1 + calib_v1",2026-09-20,
864,1778056525267,B model,1,confirm,50,g,scale,0.050,50,1,grams (g),.050000001,C2 magnitude,0,0,g 50 read from photograph; published 50,"photo review, human_v1 + calib_v1",2026-09-20,
4843,1775879036042,B model,1,propose,485,g,scale,0.485,435,1.114942528735632,grams (g),435,C1 liquid as mass,0,0,g 485 read from photograph; published 435,"photo review, human_v1 + calib_v1",2026-09-20,
10965,1776822393755,B model,1,propose,595,g,scale,0.595,495,1.202020202020202,grams (g),495,C1 liquid as mass,0,0,g 595 read from photograph; published 495,"photo review, human_v1 + calib_v1",2026-09-20,
11053,1777266059884,B model,1,propose,490,g,scale,0.490,480,1.020833333333333,grams (g),480,C1 liquid as mass,0,0,g 490 read from photograph; published 480,"photo review, human_v1 + calib_v1",2026-09-20,
11054,1777266085340,B model,1,propose,670,g,scale,0.670,610,1.098360655737705,grams (g),610,C1 liquid as mass,0,0,g 670 read from photograph; published 610,"photo review, human_v1 + calib_v1",2026-09-20,
11246,1777343511311,B model,1,propose,45,g,scale,0.045,450,.1,grams (g),45,C2 block governs,0,0,g 45 read from photograph; published 450,"photo review, human_v1 + calib_v1",2026-09-20,
