id,stratum,check,pull_item,rawtick,raw_weight,corrected_weight,rule,photo_typehaiku,photo_typesonnet,ag_scale,scale_present,display_texthaiku,display_textsonnet,ag_disp,ag_dec,disp,disp_mode,mode_inferred,photo_grams,pub_ratio,typed_matches_display,pub_matches_photo,display_legiblehaiku,display_unit_shownhaiku,package_texthaiku,package_qtyhaiku,package_unithaiku,item_on_scalehaiku,noteshaiku,display_legiblesonnet,display_unit_shownsonnet,package_textsonnet,package_qtysonnet,package_unitsonnet,item_on_scalesonnet,notessonnet,both_read,ag_type,scale_h,scale_s,has_disp_h,has_disp_s,both_disp,dec_h,dec_s,abst_h,abst_s,reason,item_nsu_hetero_type,pub_dim,disp_num
882,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),750,750,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,,not_visible,none_shown,750 mL,750.0,mL,,"Tanduay Rhum Dark bottle held near candy bowl, no scale",1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,large_size,mL,
885,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),700,700,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,700 mL,700.0,mL,False,,not_visible,none_shown,700 mL,700.0,mL,,"Vino Kulafu bottle held, no scale",1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,large_size,mL,
924,C2 magnitude,2,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),.064999998,65,log10 median,scale_no_item,scale_with_item,1,1,,0.065,,,,g,1,,,,,not_visible,indeterminate,,,,,empty scale,clear,none_shown,,,,True,red stick-shaped item on scale,1,0,1,1,0,1,0,,1,1,0,C2 magnitude only -- decimal moved,municipality_median,g,
1184,C1 flat-group rep,1,"liquor (e.g, whisky, coconut wine)",Litres (L),1,1000,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,1 Liter,1.0,L,False,Emperador Light rum,not_visible,none_shown,1 Liter,1.0,L,,Emperador Light brandy bottle held,1,1,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",large_size,mL,
1186,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),750,750,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,,not_visible,none_shown,750 mL,750.0,mL,,"Tanduay Rhum Dark bottle held, no scale",1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,medium_size,mL,
1195,C1 dual-ticked,1,"liquor (e.g, whisky, coconut wine)",Litres (L),1,1000,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,,not_visible,none_shown,1 Liter,1.0,L,,"Tanduay Rhum Light bottle held, no scale",1,1,0,0,0,0,0,,,1,1,4B dual-ticked case,large_size,mL,
1787,C1 solid as Litres,1,loaf bread,Litres (L),.63999999,640,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,Net Wt. 640 g,640.0,g,False,,not_visible,none_shown,Net Wt. 640 g,640.0,g,,"Angelina Super Loaf bags on shelf, text repeated on multiple packages",1,1,0,0,0,0,0,,,1,1,4B solid ticked as Litres,large_size,g,
2048,C1 solid as Litres,1,"crackers, cookies, buiscuits, chips/curls",Litres (L),.1,100,block governs,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,ice cream cone package,not_visible,none_shown,100ML ICE CREAM,100.0,mL,,"ice cream cone package held near freezer, no scale",1,1,0,0,0,0,0,,,1,1,4B solid ticked as Litres,small_size,g,
2050,C1 dual-ticked,1,"crackers, cookies, buiscuits, chips/curls",grams (g),25,25,log10 median,label_closeup,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,Net Wt. 130g,130.0,g,,,not_visible,none_shown,Each 25g serving contains... Calories 130,25.0,g,,"Extreme choco biscuit package held, no scale; 25g is a serving size, not total package weight",1,0,0,0,0,0,0,,,1,1,4B dual-ticked case,small_size,g,
2051,C1 dual-ticked,1,"crackers, cookies, buiscuits, chips/curls",grams (g),48,48,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,Cheese wafer,,,,"Cal Cheese package, weight text not fully legible",not_visible,none_shown,Net Weight: 48g / Khoi luong tinh: 48 g,48.0,g,,"Cal Cheese wafer package held, no scale",1,1,0,0,0,0,0,,,1,1,4B dual-ticked case,small_size,g,
2266,C1 dual-ticked,1,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),.19,190,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,190 mL,190.0,mL,,,not_visible,none_shown,190 mL,190.0,mL,,Sprite bottle held,1,1,0,0,0,0,0,,,1,1,4B dual-ticked case,small_size,mL,
2403,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),375,375,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,,,,False,Tanduay bottle held in hand,not_visible,none_shown,375 mL,375.0,mL,,Tanduay Rhum Dark bottle held,1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,medium_size,mL,
2449,C2 magnitude,2,camote,grams (g),.20999999,210,log10 median,scale_with_item,scale_with_item,1,1,0.210,0.210,1,1,0.210,kg,1,210,1,1,1,clear,none_shown,,,,True,Meat/poultry on scale,clear,none_shown,,,,True,sweet potato on scale amid eggs and tomatoes,1,1,1,1,1,1,1,1,1,0,0,C2 magnitude only -- decimal moved,medium_size,g,.21
2460,C2 magnitude,2,carrot,grams (g),.215,215,log10 median,scale_with_item,scale_with_item,1,1,0215,0.215,0,0,,g,1,,,,,clear,none_shown,,,,True,,clear,none_shown,,,,True,carrot on scale,1,1,1,1,1,1,1,0,1,0,0,C2 magnitude only -- decimal moved,medium_size,g,
2532,C2 magnitude,2,cabbage,grams (g),.89499998,895,log10 median,scale_with_item,scale_with_item,1,1,0.0895,0.895,0,1,,g,1,,,,,clear,none_shown,,,,True,,clear,none_shown,,,,True,cabbage on scale,1,1,1,1,1,1,1,1,1,0,0,C2 magnitude only -- decimal moved,medium_size,g,
2535,C2 block governs,2,cabbage,grams (g),.27000001,270,block governs,scale_with_item,scale_with_item,1,1,0.080,,,,,g,1,,,,,clear,none_shown,,,,True,Wrapped item on scale,ambiguous,indeterminate,,,,True,"wrapped food item on scale amid onions; reflections on display obscure digits, appears to be in 0.2x range",1,1,1,1,1,0,0,1,,0,1,C2 magnitude only -- decimal moved,conventional_nsu,g,
2548,C2 magnitude,2,carrot,grams (g),.059999999,60,log10 median,scale_no_item,scale_with_item,1,1,,0.060,,,,g,1,,,,,not_visible,none_shown,,,,False,empty scale,clear,none_shown,,,,True,sweet potato (kamote) on scale,1,0,1,1,0,1,0,,1,1,0,C2 magnitude only -- decimal moved,small_size,g,
2583,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),375,375,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,,not_visible,none_shown,375 mL,375.0,mL,,"Tanduay Rhum Dark bottle held, no scale",1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,medium_size,mL,
2709,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),375,375,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,,not_visible,none_shown,375 mL,375.0,mL,,Tanduay Rhum Dark bottle held,1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,medium_size,mL,
2712,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),375,375,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,375 mL,375.0,mL,False,Canduarrhum Dark rum bottle,not_visible,none_shown,375 mL,375.0,mL,,Tanduay Rhum Dark bottle held,1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,medium_size,mL,
2715,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),750,750,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,375 mL,375.0,mL,,,not_visible,none_shown,750 mL,750.0,mL,,"Tanduay Rhum Dark bottle held, no scale",1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,large_size,mL,
2921,C1 dual-ticked,1,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),.0017500001,1750,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,,,,False,Sprite bottle,not_visible,none_shown,1.75 L,1.75,L,,Sprite bottles,1,1,0,0,0,0,0,,,1,1,4B dual-ticked case,large_size,mL,
2922,C1 dual-ticked,1,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),.25,250,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,250mL,250.0,mL,,,not_visible,none_shown,250mL,250.0,mL,,Nestle Fresh Milk carton held,1,1,0,0,0,0,0,,,1,1,4B dual-ticked case,small_size,mL,
2932,C2 review queue,2,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),45,45,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,,,,False,Rainbow Pop ice cream package,not_visible,none_shown,45mL,45.0,mL,,"Selecta Rainbow Pop ice stick held, SRP P10 shown",1,1,0,0,0,0,0,,,1,1,C2 magnitude only -- decimal moved [review queue],conventional_nsu,mL,
3207,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),375,375,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,,,,False,Baked good on tray,not_visible,none_shown,375 mL,375.0,mL,,"Tanduay Rhum Light bottle held, back label with barcode",1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,medium_size,mL,
3479,C1 flat-group rep,1,"liquor (e.g, whisky, coconut wine)",Litres (L),.375,375,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,Tanduay Rhum bottle held,not_visible,none_shown,375 mL,375.0,mL,,"Tanduay Rhum Dark bottle held, no scale",1,1,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",medium_size,mL,
3593,C1 flat-group rep,1,loaf bread,grams (g),640,640,log10 median,label_closeup,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,,,,,Packaged food items,not_visible,none_shown,Net Wt. 640 g,640.0,g,,Angelina Super Loaf / Junior White bread bags jumbled together; another bag (Wheat Bread) in frame shows Wt. 360 g,1,0,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",large_size,g,
3696,C1 solid as Litres,1,"preserved or processed meat (tocino, tapa, longaniza, etc)",Litres (L),.064999998,65,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,chocolate crispy snack package,not_visible,none_shown,,,,,Chocolate Crispy ice cream bar package; net weight text not visible in frame,1,1,0,0,0,0,0,,,1,1,4B solid ticked as Litres,conventional_nsu,g,
3887,C2 block governs,2,carrot,grams (g),.44999999,450,block governs,scale_with_item,scale_with_item,1,1,,0.045,,,,g,1,,,,,ambiguous,none_shown,,,,True,"carrot on scale, display partially obscured and difficult to read",clear,none_shown,,,,True,carrot on scale,1,1,1,1,0,1,0,,1,1,0,C2 magnitude only -- decimal moved,small_size,g,
4196,C2 block governs,2,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),.56,560,block governs,scale_with_item,scale_with_item,1,1,0.560,0.560,1,1,0.560,kg,1,560,1,1,1,clear,none_shown,,,,True,,clear,none_shown,,,,True,bowl of halo-halo on scale,1,1,1,1,1,1,1,1,1,0,0,C2 magnitude only -- decimal moved,small_size,g,.5600000000000001
4233,C1 solid as Litres,1,beer,Litres (L),1200,1200,block governs,other,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,,,,,Display of bottled fish/sardines,not_visible,none_shown,500,500.0,,,"crate of glass bottles viewed from top; embossed '500' digits on bottle shoulders, no unit letter visible",1,0,0,0,0,0,0,,,1,1,4B solid ticked as Litres,province_median,mL,
4234,C1 solid as Litres,1,beer,Litres (L),7680,7680,block governs,other,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,"crate with bottles, multiple items",not_visible,none_shown,,,,,crate of San Miguel Pale Pilsen bottles; no visible net volume text in frame,1,0,0,0,0,0,0,,,1,1,4B solid ticked as Litres,province_median,mL,
4311,C1 liquid as mass,1,"drinks at restaurant, hotel, cafe, or kiosk",grams (g),375,375,log10 median,scale_with_item,scale_with_item,1,1,0.375,0.375,1,1,0.375,kg,1,375,1,0,1,clear,none_shown,,,,True,,clear,none_shown,,,,True,cup of juice on scale,1,1,1,1,1,1,1,1,1,0,0,4B liquid ticked as a mass,small_size,g,.375
4312,C1 liquid as mass,1,"drinks at restaurant, hotel, cafe, or kiosk",grams (g),440,440,log10 median,scale_with_item,scale_with_item,1,1,0.140,0.440,0,1,,g,1,,,,,clear,none_shown,,,,True,Beverage on scale,clear,none_shown,,,,True,orange drink cup on scale,1,1,1,1,1,1,1,1,1,0,0,4B liquid ticked as a mass,medium_size,g,
4475,C2 block governs,2,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),.0015,150,block governs,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,,,,False,Tanduay Light bottle,not_visible,none_shown,,,,,"bowl of a drink/gelatin dessert covered in plastic wrap, in a freezer; no scale visible",1,1,0,0,0,0,0,,,1,1,C2 magnitude only -- decimal moved,large_size,mL,
4490,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),250,250,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,Tanduay Rhum bottle held,not_visible,none_shown,250 ml,250.0,mL,,"Tanduay Rhum Dark bottle on wood table, no scale",1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,small_size,mL,
4495,C1 dual-ticked,1,"liquor (e.g, whisky, coconut wine)",Litres (L),.25,250,log10 median,label_closeup,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,,,,,Tanduay rum bottle label closeup,not_visible,none_shown,250 ml,250.0,mL,,Tanduay Rhum Dark bottle lying on cloth,1,0,0,0,0,0,0,,,1,1,4B dual-ticked case,small_size,mL,
4610,C1 flat-group rep,1,"liquor (e.g, whisky, coconut wine)",Litres (L),.75,750,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,375 mL,375.0,mL,,Tanduay Rhum Dark bottle,not_visible,none_shown,375 mL,375.0,mL,,"Tanduay Rhum Dark bottle on cutting board, no scale",1,1,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",large_size,mL,
4843,C1 liquid as mass,1,"drinks at restaurant, hotel, cafe, or kiosk",grams (g),435,435,log10 median,scale_with_item,scale_with_item,1,1,0.955,0.485,0,1,,g,1,,,,,clear,none_shown,,,,True,clear beverage on scale,clear,none_shown,,,,True,shaved ice dessert cup on scale,1,1,1,1,1,1,1,1,1,0,0,4B liquid ticked as a mass,medium_size,g,
4881,C1 flat-group rep,1,"mineral or spring water, all drinking water sold in containers",Litres (L),.0099999998,1000,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,1 Liter,1.0,L,False,DK water bottle,not_visible,none_shown,10 LITERS,10.0,L,,water jug/bottle,1,1,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",medium_size,mL,
4935,C2 block governs,2,fresh fish,grams (g),.155,155,block governs,scale_with_item,scale_with_item,1,1,0.155,0.155,1,1,0.155,kg,1,155,1,1,1,clear,none_shown,,,,True,Fish on scale,clear,none_shown,,,,True,three fish in a metal basin on scale,1,1,1,1,1,1,1,1,1,0,0,C2 magnitude only -- decimal moved,province_median,g,.155
4936,C2 block governs,2,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),.44999999,450,block governs,label_closeup,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,,not_visible,none_shown,,,,,"Aice Mochi Vanilla package on table, no scale; net weight not visible on this side",1,0,0,0,0,0,0,,,1,1,C2 magnitude only -- decimal moved,municipality_median,g,
4940,C1 dual-ticked,1,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),.1,100,log10 median,other,unreadable,1,0,,,,,,g,1,,,,,not_visible,,,,,,white bowl or saucer with markings,not_visible,none_shown,,,,,"cup bottom with faded printed text, out of focus; cannot classify contents",1,0,0,0,0,0,0,,,1,1,4B dual-ticked case,small_size,mL,
4976,C2 magnitude,2,cabbage,grams (g),.46000001,460,log10 median,scale_with_item,scale_with_item,1,1,0.460,0.460,1,1,0.460,kg,1,460,1,1,1,clear,none_shown,,,,True,Cabbage/lettuce head,clear,none_shown,,,,True,cabbage on scale,1,1,1,1,1,1,1,1,1,0,0,C2 magnitude only -- decimal moved,municipality_median,g,.46
4996,C2 magnitude,2,carrot,grams (g),.13,130,log10 median,scale_with_item,scale_with_item,1,1,0.130,0.130,1,1,0.130,kg,1,130,1,1,1,ambiguous,none_shown,,,,True,could be 0.130 or .130,clear,none_shown,,,,True,carrot on scale,1,1,1,1,1,1,1,1,1,1,0,C2 magnitude only -- decimal moved,large_size,g,.13
5029,C1 dual-ticked,1,,grams (g),70,,,label_closeup,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,,not_visible,none_shown,Net Content: 70 mL,70.0,mL,,"Cream Cooler strawberry milky ice pop package on floor, no scale",1,0,0,0,0,0,0,,,1,1,4B dual-ticked case,,,
5077,C2 magnitude,2,camote tops,grams (g),.2,200,log10 median,scale_with_item,scale_with_item,1,1,0.200,0.200,1,1,0.200,kg,1,200,1,1,1,clear,none_shown,,,,True,Bundle of greens,clear,none_shown,,,,True,bundle of leafy greens on scale,1,1,1,1,1,1,1,1,1,0,0,C2 magnitude only -- decimal moved,small_size,g,.2
5181,C2 review queue,2,chicken,grams (g),.059999999,60,block governs,scale_with_item,scale_with_item,1,1,,0.060,,,,g,1,,,,,not_visible,none_shown,,,,True,Small meat/poultry; all display rows very dim,clear,none_shown,,,,True,chicken leg/thigh piece on scale,1,1,1,1,0,1,0,,1,1,0,C2 magnitude only -- decimal moved [review queue],small_size,g,
5184,C2 review queue,2,chicken,grams (g),.079999998,80,log10 median,scale_with_item,scale_with_item,1,1,0.050,0.080,0,1,,g,1,,,,,clear,none_shown,,,,True,Chip bag on scale,clear,none_shown,,,,True,small item on scale next to SM shopping bag,1,1,1,1,1,1,1,1,1,0,0,C2 magnitude only -- decimal moved [review queue],small_size,g,
5232,C2 block governs,2,fresh fish,grams (g),.07,70,block governs,scale_with_item,scale_with_item,1,1,0.000,,,,,g,1,,,,,ambiguous,none_shown,,,,True,Fish; top row very dim,ambiguous,indeterminate,,,,True,"fish on scale; significant glare across display, appears to read approximately 0.070 but not certain",1,1,1,1,1,0,0,1,,1,1,C2 magnitude only -- decimal moved,small_size,g,
5305,C1 flat-group rep,1,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),250,250,log10 median,label_closeup,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,Net Wt. 250g,250.0,g,,,not_visible,none_shown,Net Wt.: 250g,250.0,g,,"Hotdog Jumbo package on counter, no scale",1,0,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",small_size,g,
5353,C2 review queue,2,"crackers, cookies, buiscuits, chips/curls",grams (g),.33000001,330,block governs,label_closeup,label_closeup,1,0,,,,,,g,1,,,,,not_visible,,NET WT. 150g,150.0,g,,,not_visible,none_shown,,,,,"Rebisco Crackers package; shows calorie callout (150) and expiration date, no net weight legible",1,1,0,0,0,0,0,,,1,1,C2 magnitude only -- decimal moved [review queue],small_size,g,
5375,C1 dual-ticked,1,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),.80000001,800,block governs,scale_with_item,scale_with_item,1,1,,,,,,g,1,,,,,not_visible,none_shown,,,,True,"All display rows very dim, unlit segments showing",not_visible,none_shown,Net Weight 800 ml,800.0,mL,True,"Aice Sorbetes 2in1 tub on scale; weight digits not visible in this crop, only keypad shown",1,1,1,1,0,0,0,,,1,1,4B dual-ticked case,medium_size,mL,
5443,C1 solid as Litres,1,chicken,Litres (L),.001175,1175,log10 median,scale_with_item,scale_with_item,1,1,0.115,1.175,0,1,,g,1,,,,,clear,none_shown,,,,True,plastic bag with grain on scale,clear,none_shown,,,,True,wrapped bag of dough/meat on scale,1,1,1,1,1,1,1,1,1,0,0,4B solid ticked as Litres,large_size,g,
5617,C1 solid as Litres,1,"crackers, cookies, buiscuits, chips/curls",Litres (L),.33000001,330,log10 median,label_closeup,label_closeup,1,0,,,,,,g,1,,,,,not_visible,none_shown,,,,,Rebisco Peanut Butter crackers,not_visible,none_shown,,,,,"Rebisco Peanut Butter crackers package; calorie info visible (160), no net weight legible",1,1,0,0,0,0,0,,,1,1,4B solid ticked as Litres,small_size,g,
5730,C1 flat-group rep,1,"liquor (e.g, whisky, coconut wine)",Litres (L),.75,750,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,,not_visible,none_shown,,,,,Tanduay Rhum Light bottle; volume text not visible in this crop,1,1,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",large_size,mL,
5744,C1 flat-group rep,1,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),250,250,log10 median,label_closeup,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,,not_visible,none_shown,NET WT. 250g,250.0,g,,"Sunny Hotdog package, no scale",1,0,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",small_size,g,
5817,C1 flat-group rep,1,loaf bread,grams (g),640,640,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,NET WT. 640g,640.0,g,,Angelina Super Loaf bread,not_visible,none_shown,Net Wt. 640 g,640.0,g,,"Angelina Super Loaf bread bag in freezer case, no scale",1,1,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",large_size,g,
