record_type,outcome,stage,step,dofile,description,rows_in,rows_dropped,rows_out,grain,reason,notes
stage,outcome 2,3 branch,3.1,00_shared/08_branch.do,Weighings routed to the conventional branch,11335,,80,weighing,,"branch == 1. NOT weighing_approach: 99 field-conventional cases whose (item, unit) pair mixes approaches elsewhere are processed as size-based -- issue #28, A12"
stage,outcome 2,3 branch,3.2,00_shared/08_branch.do,Weighings routed to the price-quantity branch,11335,,1114,weighing,,"branch == 2. NOT weighing_approach: 99 field-conventional cases whose (item, unit) pair mixes approaches elsewhere are processed as size-based -- issue #28, A12"
stage,outcome 2,3 branch,3.3,00_shared/08_branch.do,Weighings routed to the size-based branch,11335,,10141,weighing,,"branch == 3. NOT weighing_approach: 99 field-conventional cases whose (item, unit) pair mixes approaches elsewhere are processed as size-based -- issue #28, A12"
aggregation,outcome 2,4 branch groups,4.3,20_psps_retrofitting/21_branch_siz,Branch S -- pooled weights cut onto the case's convertible price points,10141,,2633,case x group,,"2138 groups carry a weight; 495 rows are price points a household can MATCH but that yield no weight -- an emptied part of the cut, or a refused unique price. They are in the table on purpose: removing them would push the household onto the next point along"
aggregation,outcome 2,4 branch groups,4.2,20_psps_retrofitting/22_branch_pri,Branch P -- one group per distinct peso amount handed over,1114,,368,case x price point,,"the price file is not read here: p_g is pull_price, and every distinct amount is its own group with no merge. Issue #21 sec 2 rows 5-6"
aggregation,outcome 2,4 branch groups,4.1,20_psps_retrofitting/23_branch_con,"Branch C -- one weight per case, no price and no month",80,,24,case,,"built from the 24 cases whose (item, unit) pair is conventional EVERYWHERE it appears, not from the 123 the field labelled conventional"
aggregation,outcome 2,5 month frame,5,20_psps_retrofitting/24_inflate_to,Branch P crossed with the PSPS interview months of its own municipality,368,,1093,case x price point x month,,"Branch P only. Its grams are what a fixed peso amount bought, so they move with the price level; a size-based or conventional weight is a property of an object and is the same in every month"
aggregation,outcome 2,6 lookup,6,20_psps_retrofitting/25_lookup.do,The three branches appended into the conversion lookup,,,3750,"case x group, plus month on Branch P",,"issue #11's no-inflation variant is a second file of 3025 rows -- it drops the month dimension rather than setting the factor to 1, because without a restatement nothing month-specific is left on any branch"
stage,outcome 2,H0 consumption,H0,(raw PSPS),PSPS Wave 1 consumption rows,,,245051,household x item,,2_consumption.dta
stage,outcome 2,H1 food,H1,20_psps_retrofitting/20a_psps_hous,Food rows,245051,115957,129094,household x item,item_type != 1 -- non-food and prepped-food rows,"prepped food is recorded in fd_cons_5a as a NUMBER OF TIMES CONSUMED, with no unit and no quantity, so it cannot be converted from an NSU at all"
aggregation,outcome 2,H2 slots,H2,20_psps_retrofitting/20a_psps_hous,Reshaped to one row per household x item x acquisition slot,129094,,87959,household x item x slot,,"three parallel slots -- 2 purchased, 3 own production, 4 gift -- so one food row can yield up to three rows. Only slots with a non-missing non-zero quantity are kept, which is the filter NSU_Price.R used and therefore the denominator every figure on issue #30 rests on"
stage,outcome 2,H3 path,H3.1,20_psps_retrofitting/20a_psps_hous,standard unit -- converted from the unit's own name,87959,,52489,household x item x slot,,"conv_path == 1. The five paths are asserted exhaustive and mutually exclusive, so no row is unaccounted for"
stage,outcome 2,H3 path,H3.2,20_psps_retrofitting/20a_psps_hous,non-standard unit -- needs the market survey,87959,,35448,household x item x slot,,"conv_path == 2. The five paths are asserted exhaustive and mutually exclusive, so no row is unaccounted for"
stage,outcome 2,H3 path,H3.3,20_psps_retrofitting/20a_psps_hous,not an NSU at all,87959,,22,household x item x slot,,"conv_path == 3. The five paths are asserted exhaustive and mutually exclusive, so no row is unaccounted for"
stage,outcome 2,H3 path,H3.4,20_psps_retrofitting/20a_psps_hous,no unit given by the respondent,87959,,0,household x item x slot,,"conv_path == 4. The five paths are asserted exhaustive and mutually exclusive, so no row is unaccounted for"
stage,outcome 2,H3 path,H3.5,20_psps_retrofitting/20a_psps_hous,NSU label with no crosswalk row in this cell,87959,,0,household x item x slot,,"conv_path == 5. The five paths are asserted exhaustive and mutually exclusive, so no row is unaccounted for"
stage,outcome 2,H4 standard,H4,20_psps_retrofitting/27_standard_u,Standard-unit rows converted,52489,0,52489,household x item x slot,,"no market-survey input, no fallback and no cap -- the unit states its own size. Issue #14, and A17 for rice gantang"
stage,outcome 2,H5 converted,H5,20_psps_retrofitting/28_match_and_,Non-standard-unit rows given grams,35448,555,34893,household x item x slot,see the route detail rows below,"a refused row is REPORTED, never imputed and never silently redirected to another price point"
detail,outcome 2,H5 converted,,20_psps_retrofitting/28_match_and_,route: fallback: empty size part,,,241,household x item x slot,,conv_route
detail,outcome 2,H5 converted,,20_psps_retrofitting/28_match_and_,route: fallback: national pool,,,365,household x item x slot,,conv_route
detail,outcome 2,H5 converted,,20_psps_retrofitting/28_match_and_,route: fallback: province pool,,,5412,household x item x slot,,conv_route
detail,outcome 2,H5 converted,,20_psps_retrofitting/28_match_and_,route: matched price point,,,28875,household x item x slot,,conv_route
detail,outcome 2,H5 converted,,20_psps_retrofitting/28_match_and_,route: refused: A11 spelling gap,,,304,household x item x slot,,conv_route
detail,outcome 2,H5 converted,,20_psps_retrofitting/28_match_and_,route: refused: nothing anywhere,,,103,household x item x slot,,conv_route
detail,outcome 2,H5 converted,,20_psps_retrofitting/28_match_and_,route: refused: unique price,,,148,household x item x slot,,conv_route
detail,outcome 2,H5 converted,,20_psps_retrofitting/30_fallback.d,converted at fallback level 0,,,28875,household x item x slot,,from L1 down the household's own price is not used at all -- A15
detail,outcome 2,H5 converted,,20_psps_retrofitting/30_fallback.d,converted at fallback level 1,,,131,household x item x slot,,from L1 down the household's own price is not used at all -- A15
detail,outcome 2,H5 converted,,20_psps_retrofitting/30_fallback.d,converted at fallback level 2,,,5522,household x item x slot,,from L1 down the household's own price is not used at all -- A15
detail,outcome 2,H5 converted,,20_psps_retrofitting/30_fallback.d,converted at fallback level 3,,,365,household x item x slot,,from L1 down the household's own price is not used at all -- A15
detail,outcome 2,H6 capped,,20_psps_retrofitting/29_cap.do,Rows whose price ratio hit the cap,,,1418,household x item x slot,,"clamped and KEPT, never dropped. d_cap marks them and r_h_raw keeps the uncapped ratio. A18"
stage,price file,P0 raw,,(price file),Price rows as delivered,,,5412,raw cell x price type,,"NSU_prices_from_Makayla.csv. One row carries R's literal string NA and is a placeholder, not a lost price -- see 20_case_price_points.do section 1"
aggregation,price file,P1 points,,20_psps_retrofitting/20_case_price,Price points after the union on value and the PHP 20 single-linkage merge,5412,,3171,case x point,,rows on a label the non-NSU trim removed are dropped; rows on a spelling never WEIGHED in the cell are excluded from grouping but retained for the A11 gap flag. 238 of the surviving points are refused -- a unique price with no weighing behind it
detail,price file,P2 gap,,20_psps_retrofitting/20_case_price,"Priced-but-unweighed spellings, and how many diverge in price level",307,,60,case x spelling,,"A11. Flagged at 2x and refused at conversion: the household faced that spelling's price level but would be scored against a ladder built from the other spelling's prices, and CF_h is linear in p_h/p_g"
detail,shared,2 priced,,00_shared/07_cpi_factor.do,NEGROS OCCIDENTAL / ENRIQUE B. MAGALONA / ice cream / putos / mL,,,1,case,,"RESOLVED. This cell used to be lost in stage 2 to a rescue-rule grain mismatch -- the rule decided does this case keep a preloaded rung WITHOUT corrected_unit, so the g side's preloaded row shielded the mL side, whose only price-quantity row was then dropped. corrected_unit is now in the rescue key and the cell survives with 1 weighing(s)"
detail,outcome 1,3 eligible,,10_reference_set/10_size_assignmen,CAPIZ / TAPAZ / chicken / whole (chicken),9,4,5,case,,"STILL LIVE. 4 of 9 rows have a blank field weight and so no corrected_unit, which puts them in their own (case x corrected_unit = missing) group. The case is lost at the fine grain while its g split survives -- so a count of CASES differs between the two grains here, which is exactly why every row of this ledger states its grain"
detail,shared,1 arrival,,00_shared/nsu_fold_rule.py,Harmonized unit putos (mix vegetable),,,53,weighing,,"ITS OWN CASE, not part of the carrot narrative. It is a fold target collecting rows from MORE THAN ONE ITEM -- cabbage carrot -- across 15 cells. The ILOILO / DUENAS cabbage cell that had no price-file row was a different problem and was resolved by dropping an ambiguous label at source; see issue #22"
detail,shared,1 arrival,,00_shared/03_clean_ms.do,The crosswalk merge itself,,,0,weighing,,"0 unmatched, and 03 hard-stops if that ever changes. So no crosswalk row is a DEFECT category rather than an attrition category, and every stage-1 drop leaves against a stated reason"
